Var_Name Var r k t Sol_1 Sol_2 Sol_3 Sol_4 Sol_5 Sol_6 Sol_7
w(1)(1) w - 1 1 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 0.0
w(1)(2) w - 1 2 0.0 0.0 0.0 0.0 0.0 0.0 0.0
w(1)(3) w - 1 3 0.0 0.0 0.0 0.9999999999999999 0.9999999999999999 0.9999999999999999 1.0
w(1)(4) w - 1 4 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 0.0
w(1)(5) w - 1 5 0.0 -0.0 0.0 0.0 0.0 0.0 0.0
w(1)(6) w - 1 6 0.0 1.0 0.0 0.0 0.0 0.0 0.0
w(1)(7) w - 1 7 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 0.0
w(1)(8) w - 1 8 0.0 0.0 0.0 0.0 0.0 0.0 0.0
w(1)(9) w - 1 9 0.0 0.0 0.0 0.0 0.0 0.0 0.0
w(1)(10) w - 1 10 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 0.0
w(1)(11) w - 1 11 0.0 0.0 0.0 0.0 0.0 0.0 0.0
w(1)(12) w - 1 12 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0
w(1)(13) w - 1 13 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 0.0
w(1)(14) w - 1 14 0.0 0.0 0.0 0.0 0.0 0.0 0.0
w(1)(15) w - 1 15 1.0 0.0 1.0 0.0 0.0 0.0 0.0
w(2)(1) w - 2 1 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 0.0
w(2)(2) w - 2 2 0.0 -0.0 0.0 -0.0 -0.0 -0.0 0.0
w(2)(3) w - 2 3 0.0 0.0 0.0 1.0 1.0 1.0 1.0
w(2)(4) w - 2 4 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 0.0
w(2)(5) w - 2 5 0.0 -0.0 0.0 -0.0 -0.0 -0.0 0.0
w(2)(6) w - 2 6 0.0 1.0 1.0 0.0 0.0 0.0 0.0
w(2)(7) w - 2 7 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 0.0
w(2)(8) w - 2 8 0.0 -0.0 0.0 -0.0 -0.0 -0.0 0.0
w(2)(9) w - 2 9 0.0 0.0 0.0 0.0 0.0 0.0 0.0
w(2)(10) w - 2 10 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 0.0
w(2)(11) w - 2 11 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0
w(2)(12) w - 2 12 0.0 0.0 0.0 0.0 0.0 0.0 0.0
w(2)(13) w - 2 13 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 0.0
w(2)(14) w - 2 14 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0
w(2)(15) w - 2 15 1.0 0.0 0.0 0.0 0.0 0.0 0.0
w(3)(1) w - 3 1 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 0.0
w(3)(2) w - 3 2 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 0.0
w(3)(3) w - 3 3 0.0 0.0 0.0 1.0 1.0 1.0 1.0
w(3)(4) w - 3 4 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 0.0
w(3)(5) w - 3 5 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0
w(3)(6) w - 3 6 0.0 0.0 1.0 0.0 0.0 0.0 0.0
w(3)(7) w - 3 7 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 0.0
w(3)(8) w - 3 8 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0
w(3)(9) w - 3 9 0.0 0.0 0.0 0.0 0.0 0.0 0.0
w(3)(10) w - 3 10 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 0.0
w(3)(11) w - 3 11 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0
w(3)(12) w - 3 12 0.0 -0.0 0.0 0.0 0.0 0.0 0.0
w(3)(13) w - 3 13 0.0 -0.0 -0.0 -0.0 -0.0 -0.0 0.0
w(3)(14) w - 3 14 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0
